Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,"<p><a href=""https://www.trendyol.com/dominant/kadin-lacivert-beyaz-pamuklu-kulot-7-li-paket-p-159097358?boutiqueId=61&merchantId=4341&filterOverPriceListings=false&sav=true"" rel=""nofollow"">Trendyol kaynak</a></p>
<p>Kaynak ID: 159097358</p>",Dominant,Apparel & Accessories > Clothing > Underwear & Socks > Underwear,Kadın Külot,"trendyol-import, Kadın, Külot, dominant",true,Beden,M,,,,,,,,159097358-2,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1909/prod/QC_ENRICHMENT/20260618/11/a0b1deb2-aec1-37e4-b32e-cb0aed326ff9/1_org_zoom.jpg,1,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,false,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,kg,,,,,,active
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,Beden,L,,,,,,,,159097358-3,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,Beden,2XL,,,,,,,,159097358-4,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,Beden,S,,,,,,,,159097358-5,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,Beden,XL,,,,,,,,159097358-6,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,Beden,3XL,,,,,,,,159097358-7,0.0,shopify,100,deny,manual,437.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1933/prod/QC_ENRICHMENT/20260618/11/7aaa8429-ce68-390c-a85d-a791a392a514/1_org_zoom.jpg,2,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1943/prod/QC_ENRICHMENT/20260618/11/6c3ee871-2d41-3425-933e-3da6f3f99875/1_org_zoom.jpg,3,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1896/prod/QC_ENRICHMENT/20260618/11/35dfd13a-b70a-3ddc-9b0f-fa8356150fc4/1_org_zoom.jpg,4,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
dominant-kad-n-lacivert-beyaz-pamuklu-kulot-7-li-paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1923/prod/QC_ENRICHMENT/20260618/11/aaf39869-5494-3718-8d48-9cb31010524f/1_org_zoom.jpg,5,Dominant Kadın Lacivert Beyaz Pamuklu Külot 7 Li Paket,,,,,,,,,,,,,
